epoch,train_loss,valid_loss,model
1,7.99231004,4.88288355,block
2,4.69664039,4.53353882,block
3,4.59861019,4.55455637,block
4,4.60453517,4.53818464,block
5,4.60094308,4.49052382,block
6,4.59409759,4.4762888,block
7,4.61587817,4.51878119,block
8,4.61174581,4.48894072,block
9,4.5823358,4.4779768,block
10,4.56793381,4.46517801,block
11,4.54451229,4.46220016,block
12,4.55080469,4.46291113,block
13,4.55307996,4.47531843,block
14,4.55253951,4.47499561,block
15,4.56897582,4.46196032,block
16,4.56659356,4.48780107,block
17,4.55488125,4.48043871,block
18,4.53926624,4.45998144,block
19,4.50760759,4.45256519,block
20,4.53462916,4.47224426,block
21,4.54409764,4.46171045,block
22,4.54373047,4.4537406,block
23,4.51529696,4.46915531,block
24,4.53186862,4.49447584,block
25,4.51233301,4.46281385,block
26,4.50866558,4.45092058,block
27,4.52346542,4.51981068,block
28,4.55226298,4.44734144,block
29,4.49656597,4.47186565,block
30,4.56295098,4.47391224,block
31,4.53368139,4.4591012,block
32,4.55436027,4.46800137,block
33,4.53490963,4.47708321,block
34,4.56814424,4.43772554,block
35,4.52042909,4.45149231,block
36,4.54859876,4.45006561,block
37,4.50226517,4.44988632,block
38,4.52198467,4.47659731,block
39,4.49969869,4.46296787,block
40,4.52448996,4.47487831,block
41,4.53762871,4.44048738,block
42,4.50000354,4.46321774,block
43,4.52638604,4.47768211,block
44,4.53354002,4.56147814,block
1,6.42051969,4.59130573,residual
2,4.65347784,4.52105474,residual
3,4.59947393,4.52269316,residual
4,4.62008968,4.51094246,residual
5,4.59984325,4.49453163,residual
6,4.57148414,4.45778275,residual
7,4.5567581,4.47179079,residual
8,4.58834124,4.70982218,residual
9,4.56564966,4.43991947,residual
10,4.54170481,4.44384146,residual
11,4.58126642,4.45838594,residual
12,4.54072984,4.5288372,residual
13,4.55197395,4.47709608,residual
14,4.53954956,4.46044159,residual
15,4.54221747,4.55739498,residual
16,4.54935944,4.45594263,residual
17,4.50964171,4.47733545,residual
18,4.54430034,4.42950964,residual
19,4.59764566,4.45703173,residual
20,4.52182136,4.48995733,residual
21,4.54445714,4.44408751,residual
22,4.54241694,4.43181181,residual
23,4.51355586,4.5085907,residual
24,4.55129198,4.43192339,residual
25,4.5291824,4.46585751,residual
26,4.54603965,4.42754221,residual
27,4.54795001,4.44273663,residual
28,4.55125766,4.43280602,residual
29,4.53839522,4.4559207,residual
30,4.5127605,4.43731165,residual
31,4.52978608,4.4258585,residual
32,4.55177943,4.44201565,residual
33,4.50242716,4.45173311,residual
34,4.53878197,4.43788671,residual
35,4.51884817,4.46664524,residual
36,4.49858098,4.42323875,residual
37,4.52176823,4.42937088,residual
38,4.5112473,4.43596268,residual
39,4.52214793,4.42774296,residual
40,4.52102504,4.45357895,residual
41,4.49920466,4.43121052,residual
42,4.52005343,4.44566393,residual
43,4.52934125,4.48108912,residual
44,4.50206766,4.4325304,residual
45,4.54017213,4.43625832,residual
46,4.51581097,4.44908524,residual
