epoch,total_loss,recon_loss,kl_loss,pred_loss,latent_dim
1,8.15771699,0.01680986,1.34549943,8.13956156,32
2,4.74810299,0.01537916,2.53988502,4.73018395,32
3,4.66635109,0.01362219,2.94180773,4.64978708,32
4,4.64844065,0.0113681,3.32011476,4.63375243,32
5,4.59788083,0.01023624,3.49475597,4.58414984,32
6,4.60037196,0.0099883,3.60176346,4.5867819,32
7,4.59941328,0.00990696,3.7261876,4.58578012,32
8,4.59428934,0.00981558,3.82787857,4.58064587,32
9,4.57370263,0.00974808,3.99216738,4.55996238,32
10,4.58090537,0.00972712,4.06224678,4.56711602,32
11,4.59690976,0.00967451,4.14700481,4.58308822,32
12,4.58034415,0.00960968,4.14788286,4.56658657,32
13,4.58649833,0.00961195,4.2274543,4.57265893,32
14,4.57786812,0.0095105,4.15570514,4.56420194,32
15,4.58991892,0.00946846,4.24229954,4.57620814,32
16,4.57551375,0.00936133,4.17286704,4.56197955,32
17,4.58117637,0.00927513,4.15693946,4.5677443,32
18,4.57707484,0.00920195,4.16951352,4.56370338,32
19,4.5768848,0.00914083,4.23962911,4.56350432,32
20,4.55584378,0.00899912,4.34708944,4.54249755,32
21,4.58573134,0.00896261,4.30868476,4.57246004,32
22,4.5411587,0.00881639,4.32449236,4.52801782,32
23,4.54660642,0.00876344,4.41279818,4.5334302,32
24,4.5557481,0.00865645,4.47919723,4.54261243,32
25,4.55152209,0.00852684,4.52568272,4.53846955,32
26,4.54478232,0.00851061,4.58517133,4.53168656,32
27,4.56278057,0.00841686,4.59295496,4.54977077,32
28,4.54320626,0.00834848,4.49655547,4.5303612,32
29,4.55484084,0.00829002,4.48674833,4.54206406,32
30,4.56049436,0.00826452,4.46019828,4.54776966,32
31,4.5436426,0.00812166,4.50700677,4.53101391,32
32,4.56375198,0.00816263,4.43723478,4.5511521,32
33,4.5510036,0.00805337,4.40122223,4.53854902,32
34,4.55084472,0.00817082,4.37233961,4.53830158,32
35,4.55442863,0.0079327,4.34326549,4.5421527,32
36,4.57180889,0.00789629,4.31985312,4.55959273,32
37,4.56957452,0.00791112,4.34879906,4.55731463,32
38,4.54394705,0.00777918,4.4116825,4.53175616,32
39,4.54049706,0.00776027,4.3823965,4.5283544,32
40,4.57574802,0.00777544,4.28200785,4.56369058,32
1,7.46752709,0.01689115,0.72004228,7.44991597,64
2,4.83769161,0.01535065,1.48959531,4.82085134,64
3,4.65264048,0.01397735,1.72858355,4.63693453,64
4,4.61573412,0.01302746,1.94711592,4.60075955,64
5,4.60599743,0.01201892,2.13636063,4.59184215,64
6,4.61483508,0.01106612,2.27949794,4.60148941,64
7,4.6146703,0.01052066,2.35617115,4.60179349,64
8,4.58567075,0.01028945,2.46019561,4.5729211,64
9,4.57652825,0.01004136,2.5783684,4.5639085,64
10,4.5759641,0.00996605,2.68993494,4.56330809,64
11,4.58666627,0.00988044,2.6535079,4.57413233,64
12,4.58706105,0.00983156,2.70541161,4.57452411,64
13,4.57513562,0.00980666,2.6847539,4.56264421,64
14,4.59246071,0.0098288,2.72979772,4.57990212,64
15,4.56066216,0.00971694,2.79234648,4.54815287,64
16,4.56320704,0.00967354,2.81916688,4.55071434,64
17,4.59514885,0.00953525,2.91234559,4.58270123,64
18,4.57769002,0.00940407,3.02189328,4.56526406,64
19,4.56867259,0.00937611,3.12802078,4.55616845,64
20,4.56902025,0.009266,3.14534741,4.55660889,64
21,4.56577011,0.00917453,3.23715424,4.55335841,64
22,4.57199825,0.00911186,3.23771635,4.55964868,64
23,4.54796383,0.00905514,3.18131428,4.53572741,64
24,4.56059534,0.0089905,3.18583386,4.54841902,64
25,4.5498295,0.00896043,3.14200078,4.5377271,64
26,4.55217171,0.00891869,3.14743218,4.54010558,64
27,4.55472493,0.00889958,3.19723164,4.5426281,64
28,4.55693608,0.00889751,3.20891552,4.54482964,64
29,4.54547834,0.00875932,3.2052083,4.5335138,64
30,4.55224291,0.00869702,3.21332963,4.54033256,64
31,4.54531796,0.00868617,3.34880972,4.533283,64
32,4.57242826,0.00858576,3.38900794,4.56045349,64
33,4.54913804,0.00857624,3.32901545,4.53723281,64
34,4.58088299,0.0085288,3.24012631,4.56911405,64
35,4.54799203,0.00850168,3.22730745,4.53626305,64
36,4.53985789,0.00842895,3.24803697,4.5281809,64
37,4.54473403,0.0084105,3.19958405,4.5331239,64
38,4.53462514,0.00830895,3.24591919,4.52307028,64
39,4.5311422,0.0083819,3.22214199,4.51953815,64
40,4.54570592,0.00828307,3.24343795,4.5341794,64
