trial,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,cv_spearman_mean,cv_spearman_std,cv_ndcg20_mean,cv_ndcg20_std,cv_rmse_mean,cv_mae_mean
15,4,0.05,400,0.8,0.8,0.430751,0.008949,0.839619,0.004367,2.133085,1.594439
13,6,0.05,200,1.0,0.8,0.430384,0.01021,0.838844,0.003716,2.134642,1.597002
11,6,0.05,200,0.8,1.0,0.429897,0.011991,0.839322,0.004085,2.135035,1.596863
5,4,0.05,400,0.8,1.0,0.429304,0.008963,0.839291,0.003984,2.133827,1.59427
20,4,0.1,200,0.8,1.0,0.428531,0.008836,0.838889,0.004254,2.134797,1.596395
19,8,0.05,200,0.8,0.8,0.428294,0.015109,0.838357,0.004104,2.138757,1.599109
4,8,0.05,200,1.0,0.8,0.428229,0.013836,0.838031,0.003685,2.139162,1.600162
14,4,0.05,400,1.0,1.0,0.427567,0.009411,0.839157,0.003919,2.134484,1.59675
9,6,0.05,400,0.8,0.8,0.427342,0.014685,0.838313,0.004653,2.139121,1.59822
18,6,0.05,400,0.8,1.0,0.426222,0.013458,0.838103,0.004832,2.14051,1.60009
8,6,0.1,200,0.8,0.8,0.42602,0.013871,0.838052,0.004806,2.140828,1.600561
1,8,0.05,400,0.8,1.0,0.423157,0.013275,0.836341,0.004366,2.151527,1.610094
10,6,0.1,400,0.8,0.8,0.422846,0.013837,0.836683,0.004784,2.151395,1.609731
16,8,0.05,400,1.0,0.8,0.422614,0.013795,0.836188,0.004465,2.147474,1.608898
2,6,0.1,400,1.0,0.8,0.422162,0.012595,0.837099,0.004474,2.15065,1.611664
12,8,0.1,200,1.0,1.0,0.421519,0.013057,0.835636,0.004279,2.152103,1.613898
17,6,0.1,400,0.8,1.0,0.421326,0.009448,0.836164,0.004679,2.152951,1.612071
3,8,0.1,400,0.8,1.0,0.417159,0.011634,0.834166,0.00432,2.165682,1.624031
6,8,0.1,400,1.0,1.0,0.416329,0.013949,0.833148,0.003312,2.16563,1.627717
7,8,0.1,400,0.8,0.8,0.416055,0.013552,0.834295,0.004552,2.161946,1.621056
