fold,model,RMSE,MAE,Spearman,NDCG@20,Hit@20
1,XGBoost_tuned,2.040932,1.525853,0.486712,0.836238,1.0
1,FlatMLP,2.058381,1.543605,0.468078,0.836386,1.0
1,BlockWiseMLP,2.045082,1.528553,0.488325,0.834557,1.0
1,ResidualMLP,2.047387,1.527799,0.483384,0.837951,1.0
2,XGBoost_tuned,2.013886,1.519673,0.466128,0.846292,1.0
2,FlatMLP,2.017792,1.516941,0.464518,0.845097,1.0
2,BlockWiseMLP,2.013886,1.532081,0.463938,0.843558,1.0
2,ResidualMLP,1.996431,1.498553,0.475259,0.84914,1.0
3,XGBoost_tuned,2.137711,1.573307,0.465319,0.842062,1.0
3,FlatMLP,2.164044,1.599841,0.453445,0.839757,1.0
3,BlockWiseMLP,2.137754,1.571779,0.463283,0.842439,1.0
3,ResidualMLP,2.145713,1.561905,0.462523,0.841692,1.0
4,XGBoost_tuned,2.068628,1.524966,0.47775,0.835485,1.0
4,FlatMLP,2.079558,1.553932,0.462612,0.837011,1.0
4,BlockWiseMLP,2.066153,1.529825,0.476742,0.838808,1.0
4,ResidualMLP,2.07032,1.524335,0.474563,0.83778,1.0
5,XGBoost_tuned,2.089727,1.557458,0.468292,0.839483,1.0
5,FlatMLP,2.104365,1.563066,0.452421,0.837803,1.0
5,BlockWiseMLP,2.087332,1.54902,0.467664,0.83804,1.0
5,ResidualMLP,2.094635,1.543677,0.460589,0.838237,1.0
