model,fold,RMSE,MAE,Spearman,NDCG@20,Hit@20
Network_Proximity,1,2.583661976293954,2.0052022778530985,0.1118389928436293,0.6981740735731838,1.0
Network_Proximity,2,2.486739072544137,1.9262930071180069,0.0967249229508443,0.7087464497288022,1.0
Network_Proximity,3,2.6607049906454563,2.0337243246514367,0.1198271312314373,0.7051172562030987,0.9655172413793104
Network_Proximity,4,2.5695001235888193,1.979396722562497,0.1080566713878589,0.7075666081728715,1.0
Network_Proximity,5,2.6060418591029073,2.003817791385757,0.1218968531062342,0.7147397926220184,1.0
Network_Proximity,mean,2.5813296044350547,1.9896868247141597,0.1116689143040008,0.706868836059995,0.993103448275862
Network_Proximity,spearman_std,,,0.0090284809213446,,
GraphSAGE,1,1.39424442365522,1.018206000328064,0.8520248091894109,0.950666325404272,1.0
GraphSAGE,2,1.3857698014393216,1.008745193481445,0.8404764177109783,0.9565460650613472,1.0
GraphSAGE,3,1.491116443930229,1.0622881650924685,0.8364297293437492,0.9477914867842474,1.0
GraphSAGE,4,1.4148665191992067,1.0207734107971191,0.8494798765233504,0.948388914601176,1.0
GraphSAGE,5,1.4130545970549466,1.0249977111816406,0.8488277783735099,0.9536422393472948,1.0
GraphSAGE,mean,1.4198103570557847,1.0270020961761477,0.8454477222281997,0.9514070062396676,1.0
GraphSAGE,spearman_std,,,0.005949440057142,,
GCN,1,1.4052633002832116,1.0303301811218262,0.8472091583821069,0.958123905188698,1.0
GCN,2,1.4206763444609964,1.0505629777908323,0.8263974360730699,0.953632414484308,1.0
GCN,3,1.5107505516999389,1.0875234603881836,0.8253585320515677,0.9559264347248764,1.0
GCN,4,1.4438046399630755,1.0474607944488523,0.8383267876405972,0.9506149749221486,1.0
GCN,5,1.441206590010298,1.0500677824020386,0.8382057183718634,0.9575621494490708,1.0
GCN,mean,1.444340285283504,1.053189039230347,0.835099526503841,0.9551719757538204,1.0
GCN,spearman_std,,,0.0082136493396959,,
