config_id,variant,hidden_dim,num_layers,dropout,lr,weight_decay,spearman_mean,spearman_std,rmse_mean,rmse_std,val_minus_train_mse_mean,fold_1_spearman,fold_1_rmse,fold_2_spearman,fold_2_rmse,fold_3_spearman,fold_3_rmse,fold_4_spearman,fold_4_rmse,fold_5_spearman,fold_5_rmse,params_json
11,A,256,3,0.2,0.0005,1e-05,0.4761516691070321,0.011202780538960604,2.0660458204785863,0.048175913844846166,0.12090505483360303,0.4929210473627504,2.0388984468024125,0.47523051722008586,1.9949206583599373,0.4601560888010123,2.138714348358212,0.482917933214448,2.0688396469007992,0.46953275893686386,2.088856001971571,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 1e-05}"
12,A,256,3,0.2,0.0005,0.001,0.4749632922693989,0.008882710341047949,2.0689256626334496,0.04499079991309581,0.10751562435244769,0.4827016519362774,2.051415452531914,0.4763610632016319,2.0002287495450592,0.45983988503954076,2.136625688886947,0.4845157244577021,2.065132426340736,0.4713981367118422,2.0912259958625907,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.001}"
9,A,256,3,0.2,0.001,0.0001,0.47246381783866587,0.009313867069906496,2.0715976909602754,0.046876804029874285,0.06825298037488921,0.4878314321424298,2.0522872771823923,0.4748026934003124,1.99853414222809,0.46533565876364047,2.1404484585547134,0.47370709064613004,2.071981656880725,0.46064221424081675,2.094736919955454,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.001, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
5,A,256,2,0.2,0.0005,0.0001,0.47230166236700677,0.009961581771394754,2.0682754776074517,0.04768547106447995,0.08121104800208023,0.4854552397199199,2.041970120150668,0.47164091045168505,1.9988573505709502,0.45862525535087095,2.1420629641827045,0.48110831241011615,2.0699299008943997,0.46467859390244187,2.088557052238536,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 2, ""variant"": ""A"", ""weight_decay"": 0.0001}"
7,A,256,3,0.1,0.0005,0.0001,0.47220609234679395,0.0068209760504670675,2.0677643088029365,0.04576970306592363,0.1319710678154909,0.48377772567805327,2.04295918041198,0.46959801901064535,2.000161045266289,0.4639118169304373,2.13807526370857,0.4752555933256111,2.071704785013434,0.4684873067892227,2.0859212696144085,"{""dropout"": 0.1, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
3,A,128,3,0.2,0.0005,0.0001,0.47209041519645406,0.010696864657902051,2.0729664358290574,0.047504140376739896,0.004448886495213777,0.489232849453716,2.0475371942181035,0.4723920472529959,2.0058804132979593,0.45751643472880704,2.1467474931502597,0.47620699052086785,2.06625706038564,0.4651037540258834,2.098410018093324,"{""dropout"": 0.2, ""hidden_dim"": 128, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
1,A,256,3,0.2,0.0005,0.0001,0.47198832552066133,0.009997078736682345,2.071212748741383,0.04595020983551681,0.13734505782728004,0.4853320816783886,2.051240183023955,0.47187552526832444,2.0031545318473793,0.45625175466263,2.142401521927775,0.4791934707111926,2.0670516911628525,0.46728879528277123,2.0922158157449533,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
4,A,512,3,0.2,0.0005,0.0001,0.4718425207516187,0.010322218453979114,2.0676563516712823,0.04523456826755789,0.21885887033355678,0.4866598667643778,2.0412168850755976,0.47316247628841346,2.0029238547803296,0.4624823892033716,2.1368389200454363,0.4784756088738426,2.0661311696632203,0.4584322626280883,2.091170928791827,"{""dropout"": 0.2, ""hidden_dim"": 512, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
10,A,256,3,0.2,0.0001,0.0001,0.47015612266787593,0.008110867230005496,2.0688278602772243,0.04535434383686963,0.1311643860747509,0.4839777762943842,2.048534855976911,0.4702801598202245,2.0031471524970113,0.4595134654324059,2.1415201807453963,0.47159945432554706,2.0658003093526096,0.4654097574668179,2.0851368028141932,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0001, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
6,A,256,4,0.2,0.0005,0.0001,0.4691586834398704,0.0127106306430403,2.0798029498645603,0.03818971966754311,0.013704424268834892,0.4852503918376339,2.04928737907948,0.4595041057884485,2.0380666354425583,0.4532817522855604,2.1440634851379756,0.48279527723461874,2.0686690807363277,0.4649618900530905,2.0989281689264616,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 4, ""variant"": ""A"", ""weight_decay"": 0.0001}"
8,A,256,3,0.3,0.0005,0.0001,0.46897520421308575,0.0063303334137491275,2.0873201219607926,0.04355268413905799,-0.06694549130977148,0.4796395788682624,2.061756693674089,0.466597356137931,2.0299744342265202,0.46023229642337127,2.160173688545682,0.46771343192109166,2.082757132639226,0.4706933577147723,2.1019386607184454,"{""dropout"": 0.3, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""A"", ""weight_decay"": 0.0001}"
2,B,256,3,0.2,0.0005,0.0001,0.4675010869674024,0.011899114247470208,2.073739203820486,0.04479923101186865,-0.03823966015184901,0.48812920367650403,2.0437860841511215,0.46559115677937746,2.0136607453772206,0.4529650672278279,2.1453425639380503,0.47082924880642507,2.0721968226826415,0.45999075834687786,2.0937098029533976,"{""dropout"": 0.2, ""hidden_dim"": 256, ""lr"": 0.0005, ""num_layers"": 3, ""variant"": ""B"", ""weight_decay"": 0.0001}"
